Season,playerId,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,GDP,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
2023,18568,Luis Arraez,MIA,44,49,37,8,8,0,0,0,0,0,12,5,0,0,1,0.216216216,0.244897959,0.102040816,2.4,0.408163265,0.216216216,0.624379481,0,0.25,5.813204190972263,-0.157160626,0.31451275397320183,95.5276911,1.4,0.25,0.4375,0.3125,0,0,0,0.34375,0.40625,0.25,0.0625,0.53125,0.40625
2023,13499,Tom Murphy,SEA,16,21,12,3,2,1,0,0,0,1,8,6,0,1,0,0.25,0.38095238,0.285714285,1.333333333,0.523809523,0.333333333,0.857142856,0.083333333,0.428571428,4.128539439411538,1.5698116609171802,0.4083837157204038,168.3882812903018,0.5,0.142857142,0.285714285,0.571428571,0,0,0,0.42857143,0.14285714,0.42857143,0,0.57142857,0.42857143
2023,21987,Rodolfo Castro,PIT,28,37,23,6,6,0,0,0,0,0,14,10,0,0,0,0.260869565,0.378378378,0.27027027,1.4,0.54054054,0.260869565,0.801410105,0,0.461538461,7.214015109066365,2.705780451719163,0.4064285980688559,156.20210780304944,2,0.307692307,0.461538461,0.23076923,0.666666666,0,0.166666666,0.46153846,0.23076923,0.30769231,0.30769231,0.53846154,0.15384615
2023,17109,Meibrys Viloria,CLE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0.4353832011282063,0.3135390211999035,0.6959028840065002,365.50007318573404,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,15429,Kris Bryant,COL,39,48,35,6,4,1,0,1,1,4,12,16,1,0,0,0.171428571,0.25,0.333333333,0.75,0.395833333,0.285714285,0.681547618,0.114285714,0.277777777,6.324281956763685,0.47576132020515266,0.33030923331777257,91.61766059175697,1.666666666,0.157894736,0.526315789,0.315789473,0,0.166666666,0.2,0.52631579,0.31578947,0.15789474,0.15789474,0.52631579,0.31578947
2023,19806,Jason Delay,PIT,19,22,12,2,1,1,0,0,0,2,10,5,0,0,0,0.166666666,0.454545454,0.227272727,2,0.545454545,0.25,0.795454545,0.083333334,0.285714285,4.408922676181149,1.7283507177584878,0.4129694320938804,160.58697942360916,1.5,0.285714285,0.428571428,0.285714285,0,0,0,0.42857143,0.14285714,0.42857143,0.14285714,0.71428571,0.14285714
2023,27555,Garrett Mitchell,MIL,12,15,11,2,1,0,0,1,1,1,4,5,0,0,0,0.181818181,0.266666666,0.333333333,0.8,0.4,0.454545454,0.854545454,0.272727273,0.2,2.5706518861143874,0.7429891871898457,0.3780162572860718,138.3221253835678,0,0.333333333,0,0.666666666,0,0.25,0,0.16666667,0.66666667,0.16666667,0.16666667,0.66666667,0.16666667
2023,14567,Franchy Cordero,NYY,6,6,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0.166666666,0.333333333,0.5,0.166666666,0,0.166666666,0,0,-0.277454652,-1.008519731,0.11598381400108337,-36.50023636,3,0,1,0,0,0,0,1,0,0,0,0.33333333,0.66666667
2023,20002,Bryce Johnson,SFG,4,5,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0.2,0.2,1,0.2,0,0.2,0,0,-0.134887081,-0.744107981,0.13918057680130005,-17.81147541,1,0.333333333,0.333333333,0.333333333,0,0,0,0.66666667,0.33333333,0,0,1,0
2023,21780,Esteury Ruiz,OAK,43,49,34,7,4,2,0,1,1,5,11,12,2,0,1,0.205882352,0.224489795,0.244897959,0.916666666,0.425531914,0.352941176,0.77847309,0.147058824,0.285714285,7.845004540234437,1.8746397237476018,0.3644405895091118,138.28756079422357,1.571428571,0.181818181,0.5,0.318181818,0,0.142857142,0,0.31818182,0.36363636,0.31818182,0.22727273,0.54545455,0.22727273
2023,12510,Curt Casali,CIN,15,19,10,0,0,0,0,0,0,1,8,5,1,0,0,0,0.421052631,0.263157894,1.6,0.47368421,0,0.47368421,0,0,2.517773074776608,0.20273365613885536,0.3312225310426009,102.06976928630083,0,0,0,1,0,0,0,0,0.6,0.4,0,0.6,0.4
2023,22563,Gabriel Arias,CLE,41,45,28,4,3,1,0,0,0,2,17,17,0,0,0,0.142857142,0.377777777,0.377777777,1,0.466666666,0.178571428,0.645238094,0.035714286,0.363636363,6.641425427105688,1.1584373303320632,0.3493715617391798,125.31161792718663,3,0.272727272,0.545454545,0.181818181,0,0,0.166666666,0.63636364,0.27272727,0.09090909,0.09090909,0.63636364,0.27272727
2023,19683,Mike Brosseau,MIL,5,7,6,2,0,1,0,1,1,3,1,2,0,0,0,0.333333333,0.142857142,0.285714285,0.5,0.428571428,1,1.428571428,0.666666667,0.333333333,2.277340175169368,1.4244309156712485,0.5633944698742458,262.5967454607719,1,0.5,0.25,0.25,0,1,0,0.75,0.25,0,0.25,0.25,0.5
2023,23359,Nelson Velazquez,CHC,6,7,4,1,0,1,0,0,0,0,3,2,0,0,0,0.25,0.428571428,0.285714285,1.5,0.571428571,0.5,1.071428571,0.25,0.5,1.768830096770158,0.9159208372720387,0.47592443227767944,205.14973877266996,1,0.5,0.5,0,0,0,0,0.5,0.5,0,0,1,0
2023,16686,Jason Vosler,CIN,10,11,9,0,0,0,0,0,0,0,2,5,0,0,0,0,0.181818181,0.454545454,0.4,0.181818181,0,0.181818181,0,0,-0.412341733,-1.752627712,0.12652779709209094,-35.15434102,0.5,0.25,0.25,0.5,0,0,0,0.75,0.25,0,0.25,0.25,0.5
2023,18126,LaMonte Wade Jr.,SFG,63,90,57,11,7,1,1,2,2,3,33,25,0,0,1,0.192982456,0.366666666,0.277777777,1.32,0.488888888,0.350877192,0.83976608,0.157894736,0.3,17.03667403839071,6.070697844843462,0.39959299365679424,156.76488778123516,0.588235294,0.15625,0.3125,0.53125,0.235294117,0.117647058,0.1,0.375,0.3125,0.3125,0.15625,0.5,0.34375
